base_trace_idx,k,word_just_added,accuracy,n_correct,n_total
4,8,^,0.0300,3,100
4,9,2,0.0600,6,100
4,10,=,0.0300,3,100
4,11,5.941e+04.,0.0600,6,100
4,12,V,0.0500,5,100
4,13,=,0.0000,0,100
4,14,93.2,0.9900,99,100
4,15,m,1.0000,100,100
4,16,/,1.0000,100,100
4,17,s.,1.0000,100,100
4,18,T,1.0000,100,100
4,19,=,1.0000,100,100
4,20,73,1.0000,100,100
4,21,/,1.0000,100,100
4,22,93.2,1.0000,100,100
4,23,=,1.0000,100,100
4,24,0.783,1.0000,100,100
4,25,s.,1.0000,100,100
5,0,(none),0.0300,3,100
5,1,1/2,0.0300,3,100
5,2,mv^2,0.0200,2,100
5,3,=,0.0200,2,100
5,4,2.605e+04,0.0300,3,100
5,5,J,0.0400,4,100
5,6,v,0.0400,4,100
5,7,=,0.0300,3,100
5,8,58.8,0.0500,5,100
5,9,m/s,0.0500,5,100
5,10,t,0.0500,5,100
5,11,=,0.0500,5,100
5,12,d/v,0.0500,5,100
5,13,=,0.0500,5,100
5,14,85,0.0500,5,100
5,15,m,0.0500,5,100
5,16,/,0.0500,5,100
5,17,58.8,0.0500,5,100
5,18,m/s,0.0500,5,100
5,19,=,0.0500,5,100
5,20,1.45,0.1400,14,100
5,21,s.,0.1500,15,100
6,0,(none),0.0100,1,100
6,1,1,0.0600,6,100
6,2,/,0.0400,4,100
6,3,2,0.0000,0,100
6,4,*,0.0000,0,100
6,5,15,0.0100,1,100
6,6,*,0.0000,0,100
6,7,v,0.0400,4,100
6,8,^,0.0300,3,100
6,9,2,0.0400,4,100
6,10,=,0.0100,1,100
6,11,2.611e+04.,0.0400,4,100
6,12,V,0.0400,4,100
6,13,=,0.0000,0,100
6,14,57.47,0.9900,99,100
6,15,m,1.0000,100,100
6,16,/,1.0000,100,100
6,17,s.,1.0000,100,100
6,18,T,1.0000,100,100
6,19,=,1.0000,100,100
6,20,98,1.0000,100,100
6,21,/,1.0000,100,100
6,22,57.47,1.0000,100,100
6,23,=,1.0000,100,100
6,24,1.7,0.7300,73,100
6,25,s.,0.7100,71,100
7,0,(none),0.0300,3,100
7,1,1,0.0700,7,100
7,2,/,0.1000,10,100
7,3,2,0.0700,7,100
7,4,*,0.0200,2,100
7,5,19,0.0500,5,100
7,6,*,0.0500,5,100
7,7,v,0.0500,5,100
7,8,^,0.0000,0,100
7,9,2,0.0600,6,100
7,10,=,0.0500,5,100
7,11,2.375e+04.,0.0700,7,100
7,12,V,0.0500,5,100
7,13,^,0.0300,3,100
7,14,2,0.0500,5,100
7,15,=,0.0000,0,100
7,16,2400.,0.0100,1,100
7,17,V,0.0100,1,100
7,18,=,0.0000,0,100
7,19,49.0,0.9900,99,100
7,20,m,1.0000,100,100
7,21,/,1.0000,100,100
7,22,s.,1.0000,100,100
7,23,T,1.0000,100,100
7,24,=,1.0000,100,100
7,25,69,1.0000,100,100
7,26,/,1.0000,100,100
7,27,49.0,1.0000,100,100
7,28,=,1.0000,100,100
7,29,1.41,0.1600,16,100
7,30,s.,0.1600,16,100
8,0,(none),0.0600,6,100
8,1,3.937e+04,0.0400,4,100
8,2,=,0.0300,3,100
8,3,1,0.0600,6,100
8,4,/,0.0600,6,100
8,5,2,0.0600,6,100
8,6,*,0.0600,6,100
8,7,12,0.0000,0,100
8,8,*,0.0000,0,100
8,9,v,0.0000,0,100
8,10,^,0.0400,4,100
8,11,2.,0.0500,5,100
8,12,3.937e+04,0.0200,2,100
8,13,=,0.0000,0,100
8,14,6,0.0400,4,100
8,15,*,0.0200,2,100
8,16,v,0.0300,3,100
8,17,^,0.0600,6,100
8,18,2.,0.0200,2,100
8,19,6561.66666667,0.0000,0,100
8,20,=,0.0100,1,100
8,21,v,0.0000,0,100
8,22,^,0.0000,0,100
8,23,2.,0.0000,0,100
8,24,81,0.6700,67,100
8,25,=,0.9400,94,100
8,26,v.,0.9600,96,100
8,27,64,0.9600,96,100
8,28,=,0.9600,96,100
8,29,81,0.9800,98,100
8,30,*,0.9600,96,100
8,31,t.,0.9600,96,100
8,32,0.79,1.0000,100,100
8,33,=,1.0000,100,100
8,34,t.,1.0000,100,100
9,0,(none),0.0300,3,100
9,1,1,0.0600,6,100
9,2,/,0.0500,5,100
9,3,2,0.0100,1,100
9,4,*,0.0100,1,100
9,5,18,0.0100,1,100
9,6,*,0.0300,3,100
9,7,v,0.0600,6,100
9,8,^,0.0600,6,100
9,9,2,0.0600,6,100
9,10,=,0.0500,5,100
9,11,3.802e+04.,0.0500,5,100
9,12,V,0.0600,6,100
9,13,=,0.0000,0,100
9,14,200,0.9900,99,100
9,15,m,0.9900,99,100
9,16,/,0.9700,97,100
9,17,s.,1.0000,100,100
9,18,T,0.9900,99,100
9,19,=,0.9900,99,100
9,20,60,0.9700,97,100
9,21,/,0.9800,98,100
9,22,200,1.0000,100,100
9,23,=,1.0000,100,100
9,24,0.3,0.7300,73,100
9,25,s.,0.7100,71,100
10,0,(none),0.0000,0,100
10,1,1/2,0.0000,0,100
10,2,m,0.0000,0,100
10,3,v^2,0.0000,0,100
10,4,=,0.0000,0,100
10,5,4.480e+02,0.0000,0,100
10,6,J,0.0000,0,100
10,7,v,0.0100,1,100
10,8,=,0.0100,1,100
10,9,sqrt(2*4.480e+02,0.0000,0,100
10,10,J,0.0000,0,100
10,11,/,0.0000,0,100
10,12,14,0.0000,0,100
10,13,kg),0.0000,0,100
10,14,=,0.0000,0,100
10,15,8,0.0100,1,100
10,16,m,0.0100,1,100
10,17,/,0.0100,1,100
10,18,s.,0.0100,1,100
10,19,t,0.0100,1,100
10,20,=,0.0100,1,100
10,21,48,0.0100,1,100
10,22,m,0.0100,1,100
10,23,/,0.0100,1,100
10,24,8,0.0100,1,100
10,25,m,0.0100,1,100
10,26,/,0.0100,1,100
10,27,s,0.0100,1,100
10,28,=,0.0100,1,100
10,29,6,0.0800,8,100
10,30,s.,0.1400,14,100
11,0,(none),0.0300,3,100
11,1,1,0.0600,6,100
11,2,/,0.0500,5,100
11,3,2,0.0200,2,100
11,4,m,0.0200,2,100
11,5,v,0.0200,2,100
11,6,^,0.0500,5,100
11,7,2,0.0400,4,100
11,8,=,0.0400,4,100
11,9,2.346e,0.0200,2,100
11,10,+,0.0100,1,100
11,11,03,0.0100,1,100
11,12,J.,0.0100,1,100
11,13,1,0.0200,2,100
11,14,/,0.0200,2,100
11,15,2,0.0300,3,100
11,16,(13,0.0500,5,100
11,17,kg),0.0400,4,100
11,18,v,0.0300,3,100
11,19,^,0.0300,3,100
11,20,2,0.0100,1,100
11,21,=,0.0100,1,100
11,22,2.346e,0.0100,1,100
11,23,+,0.0200,2,100
11,24,03,0.0000,0,100
11,25,J.,0.0100,1,100
11,26,v,0.0100,1,100
11,27,^,0.0200,2,100
11,28,2,0.0300,3,100
11,29,=,0.0400,4,100
11,30,360.923,0.0500,5,100
11,31,m,0.0400,4,100
11,32,^,0.0400,4,100
11,33,2,0.0400,4,100
11,34,/,0.0400,4,100
11,35,s,0.0400,4,100
11,36,^,0.0500,5,100
11,37,2.,0.0300,3,100
11,38,v,0.0500,5,100
11,39,=,0.0200,2,100
11,40,18.998,0.9800,98,100
11,41,m,0.9900,99,100
11,42,/,0.9900,99,100
11,43,s.,0.9800,98,100
11,44,t,0.9800,98,100
11,45,=,0.9800,98,100
11,46,d,0.9800,98,100
11,47,/,0.9800,98,100
11,48,v,0.9900,99,100
11,49,=,0.9800,98,100
11,50,(69,1.0000,100,100
11,51,m),0.9900,99,100
11,52,/,0.9900,99,100
11,53,(18.998,1.0000,100,100
11,54,m,1.0000,100,100
11,55,/,1.0000,100,100
11,56,s),1.0000,100,100
11,57,=,1.0000,100,100
11,58,3.632,1.0000,100,100
11,59,s.,1.0000,100,100
12,0,(none),0.0000,0,100
12,1,1.238e+03,0.0000,0,100
12,2,=,0.0000,0,100
12,3,1,0.0600,6,100
12,4,/,0.0300,3,100
12,5,2,0.0200,2,100
12,6,*,0.0600,6,100
12,7,11,0.0000,0,100
12,8,*,0.0200,2,100
12,9,v,0.0100,1,100
12,10,^,0.0500,5,100
12,11,2.,0.0000,0,100
12,12,1.238e+03,0.0000,0,100
12,13,/,0.0200,2,100
12,14,11,0.0000,0,100
12,15,=,0.0200,2,100
12,16,1,0.0100,1,100
12,17,/,0.0500,5,100
12,18,2,0.0000,0,100
12,19,*,0.0300,3,100
12,20,v,0.0000,0,100
12,21,^,0.0200,2,100
12,22,2.,0.0000,0,100
12,23,112.545454545,0.0100,1,100
12,24,=,0.0100,1,100
12,25,1,0.0500,5,100
12,26,/,0.0600,6,100
12,27,2,0.0400,4,100
12,28,*,0.0300,3,100
12,29,v,0.0700,7,100
12,30,^,0.0400,4,100
12,31,2.,0.0200,2,100
12,32,225.090909091,0.0100,1,100
12,33,=,0.0100,1,100
12,34,v,0.0200,2,100
12,35,^,0.0300,3,100
12,36,2.,0.0100,1,100
12,37,15.00303003,0.7900,79,100
12,38,=,0.8700,87,100
12,39,v.,0.9700,97,100
12,40,18,0.9700,97,100
12,41,/,0.9700,97,100
12,42,15.00303003,0.9700,97,100
12,43,=,0.9900,99,100
12,44,1.2,0.7100,71,100
12,45,seconds.,0.7100,71,100
13,0,(none),0.0200,2,100
13,1,1,0.0600,6,100
13,2,/,0.0900,9,100
13,3,2,0.0400,4,100
13,4,*,0.0100,1,100
13,5,14,0.0500,5,100
13,6,*,0.0400,4,100
13,7,v,0.0600,6,100
13,8,^,0.0400,4,100
13,9,2,0.0500,5,100
13,10,=,0.0200,2,100
13,11,5.797e+04.,0.0500,5,100
13,12,V,0.0500,5,100
13,13,=,0.0000,0,100
13,14,127.99,1.0000,100,100
13,15,m,1.0000,100,100
13,16,/,1.0000,100,100
13,17,s.,1.0000,100,100
13,18,T,1.0000,100,100
13,19,=,1.0000,100,100
13,20,93,1.0000,100,100
13,21,/,1.0000,100,100
13,22,127.99,1.0000,100,100
13,23,=,1.0000,100,100
13,24,0.73,0.1200,12,100
13,25,s.,0.0100,1,100
14,0,(none),0.0600,6,100
14,1,1,0.0600,6,100
14,2,/,0.0600,6,100
14,3,2,0.0200,2,100
14,4,*,0.0300,3,100
14,5,16,0.0400,4,100
14,6,*,0.0300,3,100
14,7,v,0.0600,6,100
14,8,^,0.0600,6,100
14,9,2,0.0500,5,100
14,10,=,0.0300,3,100
14,11,6.919e+04.,0.0600,6,100
14,12,V,0.0500,5,100
14,13,=,0.0000,0,100
14,14,117.98,0.9900,99,100
14,15,m,1.0000,100,100
14,16,/,1.0000,100,100
14,17,s.,1.0000,100,100
14,18,T,1.0000,100,100
14,19,=,1.0000,100,100
14,20,17,1.0000,100,100
14,21,/,1.0000,100,100
14,22,117.98,1.0000,100,100
14,23,=,1.0000,100,100
14,24,0.144,1.0000,100,100
14,25,s.,1.0000,100,100
15,0,(none),0.0300,3,100
15,1,1.382e+04,0.0600,6,100
15,2,=,0.0500,5,100
15,3,1,0.0700,7,100
15,4,/,0.0500,5,100
15,5,2,0.0700,7,100
15,6,*,0.0400,4,100
15,7,12,0.0100,1,100
15,8,*,0.0000,0,100
15,9,v,0.0000,0,100
15,10,^,0.0500,5,100
15,11,2.,0.0500,5,100
15,12,1.382e+04,0.0200,2,100
15,13,=,0.0200,2,100
15,14,6,0.0400,4,100
15,15,*,0.0200,2,100
15,16,v,0.0400,4,100
15,17,^,0.0500,5,100
15,18,2.,0.0300,3,100
15,19,2303.33,0.0400,4,100
15,20,=,0.0200,2,100
15,21,v,0.0100,1,100
15,22,^,0.0300,3,100
15,23,2.,0.0300,3,100
15,24,48.0,0.8800,88,100
15,25,=,0.9900,99,100
15,26,v.,1.0000,100,100
15,27,90,1.0000,100,100
15,28,=,1.0000,100,100
15,29,48,0.9900,99,100
15,30,*,1.0000,100,100
15,31,t.,1.0000,100,100
15,32,1.875,0.0100,1,100
15,33,=,0.0100,1,100
15,34,t.,0.0100,1,100
16,0,(none),0.0300,3,100
16,1,1,0.0600,6,100
16,2,/,0.0500,5,100
16,3,2,0.0100,1,100
16,4,*,0.0000,0,100
16,5,11,0.0200,2,100
16,6,*,0.0300,3,100
16,7,v,0.0300,3,100
16,8,^,0.0300,3,100
16,9,2,0.0500,5,100
16,10,=,0.0500,5,100
16,11,7.530e+03.,0.0500,5,100
16,12,V,0.0300,3,100
16,13,=,0.0000,0,100
16,14,37.38,0.9900,99,100
16,15,m,1.0000,100,100
16,16,/,1.0000,100,100
16,17,s.,1.0000,100,100
16,18,T,1.0000,100,100
16,19,=,1.0000,100,100
16,20,13,1.0000,100,100
16,21,/,1.0000,100,100
16,22,37.38,1.0000,100,100
16,23,=,1.0000,100,100
16,24,0.35,1.0000,100,100
16,25,s.,1.0000,100,100
0,0,(none),0.0200,2,100
0,1,1/2mv^2,0.0300,3,100
0,2,=,0.0200,2,100
0,3,2.388e+04,0.0400,4,100
0,4,J,0.0400,4,100
0,5,v,0.0300,3,100
0,6,=,0.0400,4,100
0,7,52.8,0.0300,3,100
0,8,m/s,0.0300,3,100
0,9,t,0.0300,3,100
0,10,=,0.0300,3,100
0,11,d/v,0.0300,3,100
0,12,=,0.0300,3,100
0,13,30,0.0300,3,100
0,14,m,0.0300,3,100
0,15,/,0.0300,3,100
0,16,52.8,0.0300,3,100
0,17,m/s,0.0300,3,100
0,18,=,0.0300,3,100
0,19,0.57,0.9600,96,100
0,20,s.,1.0000,100,100
18,0,(none),0.0300,3,100
18,1,1.664e+04,0.0100,1,100
18,2,=,0.0300,3,100
18,3,1,0.0500,5,100
18,4,/,0.0500,5,100
18,5,2,0.0600,6,100
18,6,*,0.0400,4,100
18,7,11,0.0000,0,100
18,8,*,0.0000,0,100
18,9,v,0.0000,0,100
18,10,^,0.0500,5,100
18,11,2.,0.0300,3,100
18,12,1.664e+04,0.0200,2,100
18,13,=,0.0000,0,100
18,14,5.5,0.0500,5,100
18,15,*,0.0300,3,100
18,16,v,0.0400,4,100
18,17,^,0.0400,4,100
18,18,2.,0.0500,5,100
18,19,3025.45,0.0100,1,100
18,20,=,0.0000,0,100
18,21,v,0.0000,0,100
18,22,^,0.0100,1,100
18,23,2.,0.0300,3,100
18,24,55.004,0.9900,99,100
18,25,=,1.0000,100,100
18,26,v.,1.0000,100,100
18,27,53,1.0000,100,100
18,28,=,1.0000,100,100
18,29,55.004,0.9900,99,100
18,30,*,1.0000,100,100
18,31,t.,0.9900,99,100
18,32,t,0.9900,99,100
18,33,=,0.9900,99,100
18,34,0.9635.,1.0000,100,100
19,0,(none),0.0300,3,100
19,1,1.164e+04,0.0700,7,100
19,2,=,0.0500,5,100
19,3,1/2,0.0700,7,100
19,4,*,0.0600,6,100
19,5,19,0.0000,0,100
19,6,*,0.0000,0,100
19,7,v^2.,0.0600,6,100
19,8,v,0.0300,3,100
19,9,=,0.0200,2,100
19,10,34.62,1.0000,100,100
19,11,m/s.,1.0000,100,100
19,12,23,1.0000,100,100
19,13,m,1.0000,100,100
19,14,/,1.0000,100,100
19,15,34.62,1.0000,100,100
19,16,m/s,1.0000,100,100
19,17,=,1.0000,100,100
19,18,0.66,1.0000,100,100
19,19,s.,1.0000,100,100
